lat	lon		url
55.5348601	-1.6393223	Northumberland coast	https://www.theguardian.com/money/2009/dec/05/lets-move-to-northumberland-coast
53.3723866	-3.1842948	West Kirby, Merseyside	https://www.theguardian.com/money/2009/aug/29/let-move-to-west-kirby
53.716344	-2.0987969	Todmorden	https://www.theguardian.com/money/2009/aug/22/lets-move-to-todmorden
51.999326	-0.987645	Buckingham	https://www.theguardian.com/money/2009/aug/15/lets-move-to-buckingham
50.7236303	-1.8484642	Boscombe, Dorset	https://www.theguardian.com/money/2009/aug/08/lets-move-to-boscombe-dorset
55.070859	-3.60512	Dumfries	https://www.theguardian.com/money/2009/apr/25/lets-move-to-dumfries-scotland
51.703533	-2.903404	Usk, Monmouthshire	https://www.theguardian.com/money/2009/apr/18/usk-monmouthshire-property
53.215207	-1.676171	Bakewell, Derbyshire	https://www.theguardian.com/money/2009/apr/11/property-bakewell-derbyshire
57.477773	-4.224721	Inverness, Scotland	https://www.theguardian.com/money/2009/apr/04/inverness-scotland-property
54.556434	-0.795478	Staithes, North Yorkshire	https://www.theguardian.com/money/2010/sep/18/staithe-north-yorkshire-property
52.9389139	0.491032	Hunstanton, Norfolk	https://www.theguardian.com/money/2010/sep/11/lets-move-to-hunstanton-norfolk
57.680609	-4.0346781	Cromarty, Ross-shire	https://www.theguardian.com/money/2010/sep/04/lets-move-to-cromarty-black-isle
50.71505	-1.987248	Poole, Dorset	https://www.theguardian.com/money/2010/oct/30/lets-move-to-poole-dorset
53.3692988	-1.4949862	Ecclesall Road, Sheffield	https://www.theguardian.com/money/2010/oct/16/lets-move-to-nether-edge
51.4992206	-0.3061024	Ealing, west London	https://www.theguardian.com/money/2010/oct/09/lets-move-to-ealing-west-london
52.419476	-3.032585	Clun, Shropshire	https://www.theguardian.com/money/2010/oct/02/clun-clun-valley-shropshire-property
50.547033	-3.496688	Teignmouth, Devon	https://www.theguardian.com/money/2010/nov/27/lets-move-to-teignmouth-devon
