lat	lon		url
50.433741	-3.685797	Totnes, Devon	https://www.theguardian.com/money/2012/sep/28/lets-move-to-totnes-devon
51.534933	-0.247334	Harlesden	https://www.theguardian.com/money/2012/sep/21/lets-move-to-harlesden-old-oak-common
51.270363	0.522699	Maidstone, Kent	https://www.theguardian.com/money/2012/sep/14/lets-move-to-maidstone-kent
53.453605	-2.241047	Moss Side, Manchester	https://www.theguardian.com/money/2012/sep/07/moss-side-manchester-property-roundup
51.4532529	-0.1011862	Pimlico, central London	https://www.theguardian.com/money/2012/oct/26/lets-move-to-pimlico-london
54.545284	-1.923741	Barnard Castle, County Durham	https://www.theguardian.com/money/2012/oct/19/lets-move-to-barnard-castle-county-durham
50.810208	-2.743195	Beaminster, Dorset	https://www.theguardian.com/money/2012/oct/12/lets-move-to-beaminster-dorset
54.3502798	-6.652792	Armagh, County Armagh	https://www.theguardian.com/money/2012/oct/05/lets-move-to-armagh-county
52.831333	0.849324	Fakenham, Norfolk	https://www.theguardian.com/money/2012/nov/30/lets-move-to-fakenham-norfolk
57.649454	-3.318485	Elgin, Morayshire	https://www.theguardian.com/money/2012/nov/23/lets-move-elgin-morayshire
50.4714961	-4.7188629	Bodmin, Cornwall	https://www.theguardian.com/money/2012/nov/16/bodmin-cornwall-property-roundup
52.415303	-4.08292	Aberystwyth, Ceredigion	https://www.theguardian.com/money/2012/nov/09/lets-move-to-aberystwyth-ceredigion
52.109994	-2.074814	Pershore, Worcestershire	https://www.theguardian.com/money/2012/nov/02/lets-move-to-pershore-worcestershire
53.137156	-1.551774	Matlock, Derbyshire	https://www.theguardian.com/money/2012/may/25/lets-move-to-matlock-derbyshire
50.8562933	0.5905229	Old Town, Hastings, East Sussex	https://www.theguardian.com/money/2012/may/18/lets-move-hastings-east-sussex
52.375539	-2.316973	Bewdley, Worcestershire	https://www.theguardian.com/money/2012/may/11/lets-move-to-bewdley-worcestershire
51.113338	-2.452895	Bruton, Somerset	https://www.theguardian.com/money/2012/may/04/lets-move-to-bruton-castle-cary-somerset
51.420073	-1.727062	Marlborough, Wiltshire	https://www.theguardian.com/money/2012/mar/30/lets-move-to-marlborough-wiltshire
54.08535	-0.198802	Bridlington, East Riding, Yorkshire	https://www.theguardian.com/money/2012/mar/23/lets-move-to-bridlington-east-riding-yorkshire
52.065357	-2.217407	Upton-upon-Severn, Worcestershire	https://www.theguardian.com/money/2012/mar/16/lets-move-to-upton-upon-severn-worcestershire
51.4752475	-0.038952	New Cross, south-east London	https://www.theguardian.com/money/2012/mar/09/lets-move-to-new-cross-london
54.069208	-1.999407	Grassington, North Yorkshire	https://www.theguardian.com/money/2012/mar/02/lets-move-to-grassington-wharfedale
51.4625275	-2.5900659	Stokes Croft, Bristol	https://www.theguardian.com/money/2012/jun/29/lets-move-to-stokes-croft-bristol
53.183906	-3.425002	Denbigh, Denbighshire	https://www.theguardian.com/money/2012/jun/22/lets-move-to-denbigh-denbighshire
50.346776	-4.2875679	Whitsand Bay, Cornwall	https://www.theguardian.com/money/2012/jun/15/lets-move-whitsand-bay-rame-head-cornwall
51.830433	1.247224	Frinton-on-Sea, Essex	https://www.theguardian.com/money/2012/jun/08/lets-move-frinton-on-sea-essex
51.8031689	-0.208661	Welwyn Garden City, Hertfordshire	https://www.theguardian.com/money/2012/jun/01/lets-move-to-welwyn-garden-city
51.5501741	-0.003371	Stratford, east London	https://www.theguardian.com/money/2012/jul/27/lets-move-to-stratford-olympic-park
56.4391984	-6.000887	Isle of Mull, Argyll	https://www.theguardian.com/money/2012/jul/20/lets-move-to-isle-of-mull
53.645708	-3.010113	Southport, Merseyside	https://www.theguardian.com/money/2012/jul/13/lets-move-to-southport-merseyside
51.49532	-0.1006971	Elephant & Castle, south London	https://www.theguardian.com/money/2012/jul/06/lets-move-to-elephant-and-castle-walworth
53.8215574	-1.5757947	Headingley, Leeds	https://www.theguardian.com/money/2012/jan/27/lets-move-to-headingley-leeds
51.4985821	-0.0691276	Bermondsey, London SE1	https://www.theguardian.com/money/2012/jan/13/bermondsey-london-se1-property-review
53.079044	-0.959921	Southwell, Nottinghamshire	https://www.theguardian.com/money/2012/jan/06/lets-move-southwell-nottinghamshire
51.274017	1.337427	Sandwich, Kent	https://www.theguardian.com/money/2012/feb/24/lets-move-to-sandwich-kent
51.931364	-1.726444	Stow-on-the-Wold, Gloucestershire	https://www.theguardian.com/money/2012/feb/17/lets-move-to-stow-on-wold-gloucestershire
51.461514	-2.1195157	Chippenham, Wiltshire	https://www.theguardian.com/money/2012/feb/10/lets-move-to-chippenham-wilts
53.3300114	-1.6563548	Hathersage, Derbyshire	https://www.theguardian.com/money/2012/feb/03/lets-move-to-hathersage-edale-castleton
56.963661	-2.2092879	Stonehaven, Aberdeenshire	https://www.theguardian.com/money/2012/dec/28/lets-move-to-stonehaven-aberdeenshire
