lat	lon		url
51.42476	-0.059399	Sydenham, south-east London	https://www.theguardian.com/money/2015/sep/25/lets-move-to-sydenham-south-east-london
50.8209317	0.3397311	Pevensey and Pevensey Bay, East Sussex	https://www.theguardian.com/money/2015/sep/18/lets-move-pevensey-bay-east-sussex
55.0175869	-1.4255818	Tynemouth, Tyne & Wear	https://www.theguardian.com/money/2015/sep/11/lets-move-to-tynemouth-tyne-and-wear
53.2577125	-3.4418762	St Asaph, Denbighshire	https://www.theguardian.com/money/2015/sep/04/lets-move-to-st-asaph-denbighshire-wales
55.869058	-2.091068	Eyemouth, Berwickshire	https://www.theguardian.com/money/2015/oct/30/lets-move-to-eyemouth-st-abbs-head-berwickshire
52.540698	-2.803484	Church Stretton, Shropshire	https://www.theguardian.com/money/2015/oct/23/lets-move-to-church-stretton-shropshire-hills-tom-dyckhoff
51.335545	1.419895	Ramsgate, Kent	https://www.theguardian.com/money/2015/oct/16/lets-move-to-ramsgate-kent
50.152571	-5.06627	Falmouth, Cornwall	https://www.theguardian.com/money/2015/oct/09/lets-move-to-falmouth-cornwall
53.571744	-1.786292	Holmfirth, West Yorkshire	https://www.theguardian.com/money/2015/oct/02/lets-move-to-holmfirth-west-yorkshire
51.641856	-2.673804	Chepstow, Monmouthshire	https://www.theguardian.com/money/2015/nov/27/lets-move-chepstow-monmouthshire
53.883551	-1.260889	Tadcaster, north Yorkshire	https://www.theguardian.com/money/2015/nov/20/lets-move-to-tadcaster-north-yorkshire
51.5136143	-0.1365486	Soho, central London	https://www.theguardian.com/money/2015/nov/13/lets-move-to-soho-central-london
52.766404	-0.887126	Melton Mowbray, Leicestershire	https://www.theguardian.com/money/2015/nov/06/lets-move-to-melton-mowbray-leicestershire
51.9435956	0.9875182	Dedham Vale, Essex	https://www.theguardian.com/money/2015/may/29/lets-move-dedham-vale-nayland-east-bergholt-essex-suffolk
53.756629	-3.0213193	Lytham St Annes, Lancashire	https://www.theguardian.com/money/2015/may/22/lets-move-lytham-st-annes-lancashire
52.4324467	-1.8931188	Kings Heath, Birmingham	https://www.theguardian.com/money/2015/may/15/lets-move-to-kings-heath-birmingham
51.7859365	-1.4850544	Witney, Oxfordshire	https://www.theguardian.com/money/2015/may/08/lets-move-witney-oxfordshire-tom-dyckhoff
51.478968	-3.705163	Porthcawl, South Glamorgan	https://www.theguardian.com/money/2015/mar/27/lets-move-porthcawl-south-glamorgan-wales
51.516758	-0.436786	Hayes, west London	https://www.theguardian.com/money/2015/mar/20/lets-move-hayes-west-london-orwell-interwar-suburb-crossrail
51.095582	0.537639	Cranbrook, Kent	https://www.theguardian.com/money/2015/mar/13/lets-move-cranbrook-goudhurst-kent
56.2317854	-5.0754102	Inveraray, Argyll	https://www.theguardian.com/money/2015/mar/06/lets-move-to-inveraray-argyll-scotland
50.9230963	-1.1373891	Meon valley, Hampshire	https://www.theguardian.com/money/2015/jun/26/lets-move-meon-valley-hampshire
50.684555	-3.466689	Topsham, Devon	https://www.theguardian.com/money/2015/jun/19/lets-move-topsham-exe-estuary-devon
51.4389469	-0.3135942	Ham, south-west London	https://www.theguardian.com/money/2015/jun/12/lets-move-ham-south-west-london-tom-dyckhoff
52.969215	-3.17166	Llangollen, Denbighshire	https://www.theguardian.com/money/2015/jun/05/lets-move-llangollen-denbighshire
51.6251502	-0.152936	Barnet, north-west London	https://www.theguardian.com/money/2015/jul/31/lets-move-to-barnet-london-property
53.067185	-2.524102	Nantwich, Cheshire	https://www.theguardian.com/money/2015/jul/24/lets-move-to-nantwich-cheshire
52.569354	1.115305	Wymondham, Norfolk	https://www.theguardian.com/money/2015/jul/17/lets-move-wymondham-norfolk
52.660348	-3.146407	Welshpool, Powys	https://www.theguardian.com/money/2015/jul/10/lets-move-welshpool-powys
50.7111639	-2.441181	Dorchester, Dorset	https://www.theguardian.com/money/2015/jul/03/lets-move-to-dorchester-dorset
51.4894752	0.0675883	Woolwich, south-east London	https://www.theguardian.com/money/2015/jan/23/lets-move-woolwich-south-east-london-tom-dyckhoff
51.899603	-1.1535899	Bicester, Oxfordshire	https://www.theguardian.com/money/2015/jan/20/lets-move-bicester-oxfordshire-tom-dyckhoff
52.0450779	0.952647	Hadleigh, Suffolk	https://www.theguardian.com/money/2015/jan/16/hadleigh-suffolk-property-review
51.081397	1.169456	Folkestone, Kent	https://www.theguardian.com/money/2015/jan/09/lets-move-to-folkestone-property-review
54.867159	-4.444234	Wigtown	https://www.theguardian.com/money/2015/jan/02/lets-move-to-wigtown-machars-peninsula
50.7335769	-2.758301	Bridport, Dorset	https://www.theguardian.com/money/2015/feb/27/lets-move-bridport-west-bay-dorset-broadchurch
52.4808407	-0.4687516	Oundle, Northamptonshire	https://www.theguardian.com/money/2015/feb/20/lets-move-oundle-northamptonshire-tom-dyckhoff
51.442108	-2.856196	Clevedon, Somerset	https://www.theguardian.com/money/2015/feb/13/lets-move-clevedon-somerset-tom-dyckhoff
53.944377	-1.0867058	South Bank, York	https://www.theguardian.com/money/2015/feb/06/lets-move-south-bank-scarcroft-road-york
54.991941	-1.604188	Jesmond, Newcastle upon Tyne	https://www.theguardian.com/money/2015/dec/18/lets-move-to-jesmond-newcastle-upon-tyne
52.578482	1.720606	East Norfolk	https://www.theguardian.com/money/2015/dec/11/lets-move-to-the-east-norfolk-coast
51.6049674	-0.0722785	Tottenham, north London	https://www.theguardian.com/money/2015/dec/04/lets-move-to-tottenham-north-london
50.725156	-2.936639	Lyme Regis	https://www.theguardian.com/money/2015/aug/28/lets-move-to-lyme-regis-dorset
51.3489069	-1.994828	Devizes, Wiltshire	https://www.theguardian.com/money/2015/aug/21/lets-move-to-devizes-wiltshire
51.7999835	-2.5519169	Forest of Dean, Gloucestershire	https://www.theguardian.com/money/2015/aug/14/lets-move-to-the-forest-of-dean-gloucestershire
51.5719443	-0.7769422	Marlow, Buckinghamshire	https://www.theguardian.com/money/2015/aug/07/property-lets-move-to-marlow-buckinghamshire
